418,3314,970,3418,472,3914,1302,4293,1680,3351,1763,3425,1700,850,2501,4337,2633,1100,2861,4321,2760,445,1852,1146,3365,2495,584,3359
0.318,-0.096,-0.405,-0.133,0.245,0.02,-0.33,-0.117,0.121,-0.216,0.026,0.015,-0.045,0.063,0.099,-0.017,0.01,0.523,0.636,-0.2,-0.263,0.342,0.041,-0.027,-0.274,0.099,0.071,-0.23
0.22,-0.001,-0.024,-0.071,0.14,-0.007,-0.166,-30.0,0.122,-0.04,0.14,-0.046,-0.101,-0.061,-0.014,0.05,0.0,0.04,0.003,0.053,-0.072,0.238,0.066,-0.035,-0.192,0.042,0.045,0.144
0.155,-30.0,-0.142,-30.0,-30.0,0.183,-0.124,-30.0,0.043,-0.164,-30.0,0.105,-0.033,0.006,-30.0,-30.0,-30.0,-30.0,0.081,-0.031,0.124,-30.0,-0.04,-0.121,0.1,0.052,0.002,0.079
-0.01,-0.085,-0.065,0.218,0.106,-0.033,-0.016,0.11,0.015,0.081,-0.043,0.102,0.095,0.028,-0.136,-0.095,0.067,-0.093,-0.078,0.097,-0.229,0.103,-0.303,0.081,0.023,-0.108,-0.019,0.035
-0.005,-30.0,-0.588,0.03,-30.0,-0.132,1.104,-1.111,0.479,-0.163,-30.0,-0.286,0.071,0.051,-0.098,-0.511,0.106,0.427,0.424,-0.605,0.511,0.087,-0.361,-0.523,0.271,-0.001,0.004,0.169
0.274,-0.012,0.022,-0.11,0.152,-0.104,-0.313,0.0,0.074,-0.021,-0.042,-0.042,-0.043,0.013,0.022,0.06,-0.086,-0.048,0.032,-0.079,-0.013,0.274,-0.044,-0.329,-0.146,-0.073,-0.009,0.117
0.081,-0.15,0.016,0.109,0.236,0.232,0.106,0.207,0.116,-0.024,-0.048,0.29,0.271,-0.067,-0.008,0.066,0.159,-0.041,-0.075,0.209,-0.081,-0.04,0.068,0.14,-0.067,-0.251,-0.041,0.066
0.052,-0.109,0.279,-0.019,0.184,-0.086,-0.206,-0.058,0.202,0.088,0.852,-0.138,0.046,0.022,0.036,-0.069,0.431,0.043,-0.201,-0.098,-0.052,0.064,-0.058,-0.362,0.05,0.404,0.407,0.296
0.417,-0.251,-0.379,-0.058,0.32,0.059,-0.049,0.039,0.005,0.0,0.015,0.104,-0.009,-0.092,-0.357,-0.003,0.032,0.019,0.017,0.052,0.031,0.423,0.064,-0.101,-0.045,-0.375,0.004,0.114
0.155,-0.201,-0.187,-0.097,0.246,-0.055,-0.255,0.017,0.159,0.175,-0.016,-0.082,0.004,0.015,-0.249,0.104,0.246,0.265,0.194,0.095,0.021,0.221,-0.057,-0.295,0.101,-0.256,0.286,0.321
0.094,-0.141,-0.03,-0.096,0.092,-0.051,-0.175,-0.086,0.208,0.0,-0.011,0.065,0.236,-0.063,-0.05,-0.052,-0.068,-0.013,0.233,-0.084,0.264,0.071,-0.116,-0.108,-0.13,-0.012,-0.005,0.04
0.534,-0.087,-0.087,0.023,0.986,0.354,0.165,-0.176,-0.094,0.332,-0.006,0.001,0.223,-0.034,-0.168,-0.281,-0.076,-0.002,0.106,-0.21,0.083,0.593,-0.023,-0.162,-0.229,0.278,-0.016,-0.07
0.196,-0.07,-0.079,0.259,0.067,0.06,-0.026,0.172,-0.085,-0.039,-0.119,0.323,-0.102,-0.299,0.036,-0.075,0.016,0.072,-0.071,0.004,0.184,0.168,-0.181,-0.187,-0.087,0.136,-0.039,0.076
0.267,0.053,-0.375,0.117,0.55,-0.145,-0.376,-0.016,0.12,-0.312,-30.0,0.101,0.135,-0.324,0.036,0.011,-30.0,0.23,-0.09,0.013,-30.0,0.324,-0.45,-0.315,-0.077,0.034,-0.422,0.11
0.644,-0.089,-0.171,0.253,0.837,0.04,-0.056,-0.299,0.317,-0.06,-30.0,0.213,0.306,0.039,-0.149,-0.114,-30.0,-0.137,1.078,-0.22,-30.0,0.609,0.156,0.085,-0.131,0.071,-0.081,-0.082
0.353,-0.026,-0.031,0.136,0.655,-0.108,-0.042,0.018,0.261,0.066,-30.0,0.162,0.193,-0.023,0.016,0.146,-30.0,0.187,-0.066,0.058,-30.0,0.43,-0.114,-0.006,-0.086,-0.109,-0.044,0.073
